nnkd,mob,MOB_term,Credit_TermApr,bad,maxdelay_one,delays_one,MA_AGE,MA_Gender,MA_Education,MA_Marital_Status,MANUMBEROFCHILD,MA_Residential_Status,MA_MONTH_AT_CURR_ADDRESS,MA_Real_Estate_Owner,MA_REG_Same_Fact_Addr,MA_MONTH_AT_CURR_PASSP,MA_Exp_IND,MA_MONTH_AT_CURR_JOB,MA_Time_Previous_Job,MA_Proposed_Amount,TOT_INCOME,PARTWH_INCOME,PAYMD2TOTPAYM,PTI,ratio_curr_cap_share,larger_diff_term,ratio_inst_amount,freq_nnkd,age_range,EQ_PP,diff_white_pti,ratio_time_job,ratio_amount_income
1-RUR-4520-3628260,11,0.18032786879999999,61,0,27,0,39,0,2,5,2,4,419,1,1,48,0,71,4,485000,44700.0,1.0,0.3247214478061144,0.3121355704697986,0.0923406939635776,1,228.72885245901637,8,2,0,30747.54,0.056338028169014086,1.105979381443299
1-RUR-0000-3984007,8,0.6666666666,12,0,16,0,54,1,0,2,0,1,245,1,1,108,0,15,84,175000,51370.0,1.0,0.8232037648943626,0.3221321783141912,0.8860473877697289,1,1378.9941666666666,6,4,0,34822.06999999999,5.6,3.5225142857142857
1-RUR-0000-3984007,6,0.5,12,0,16,0,54,1,0,2,0,1,245,1,1,108,0,15,84,175000,51370.0,1.0,0.8027556920311564,0.3221321783141912,0.4414203079459168,1,1378.9941666666666,6,4,0,34822.06999999999,5.6,3.5225142857142857
1-RUR-4200-4318552,8,0.1311475409,61,1,29,0,37,1,0,3,1,1,60,1,1,49,0,54,156,400000,50000.0,1.0,0.32336954496596204,0.2301438,0.0597798217339063,1,188.64245901639345,8,2,0,38492.81,2.888888888888889,1.5
1-RUR-0000-5015962,6,0.1621621621,37,1,48,1,36,0,2,2,0,1,249,1,1,6,0,23,38,240000,36726.85,0.0,0.4618715860086248,0.282514835876205,0.08734319824558419,1,280.4291891891892,5,2,0,-10375.88,1.6521739130434783,1.8363424999999998
1-RUR-4510-3297185,6,0.09836065570000001,61,1,53,1,38,1,0,2,0,1,277,1,1,50,0,56,72,149000,16000.0,1.0,0.30480267857142856,0.267901875,0.048023238197389656,1,70.26934426229509,5,2,0,11713.57,1.2857142857142858,1.2885906040268456
1-RUR-4520-3262264,5,0.08196721309999999,61,1,26,0,45,0,0,2,0,1,47,1,1,0,0,57,60,300000,35680.0,1.0,0.30780202712196525,0.24188312780269056,0.027767960658122853,1,141.48180327868852,3,3,0,27049.61,1.0526315789473684,1.4272
1-RUR-0000-3219657,5,0.08196721309999999,61,1,91,1,33,1,2,3,1,4,83,1,1,45,0,38,0,250000,30000.0,0.0,0.3649550574620053,0.250082,0.05506596040269927,1,122.9911475409836,4,2,0,-7502.460000000001,0.0,1.44
1-RUR-4500-4416720,3,0.25,12,1,54,1,24,0,2,2,0,1,16,1,1,47,0,15,54,150000,56000.0,1.0,0.7097852,0.2532846428571429,0.13416944806355838,1,1181.9950000000001,7,1,0,41816.06,3.6,4.48
1-RUR-0000-3143488,13,0.3513513513,37,0,76,2,30,1,2,5,0,3,164,1,1,9,0,10,84,200000,63000.0,0.0,0.6043160971417099,0.12995333333333334,0.40670183702599594,1,221.2718918918919,18,2,0,-8187.06,8.4,3.78
1-RUR-4520-3385902,11,0.18032786879999999,61,1,41,4,23,1,2,2,0,1,114,1,1,3,0,13,12,248000,25000.0,1.0,0.3268698159846196,0.28537840000000003,0.10616834254647635,1,116.9583606557377,14,1,0,17865.54,0.9230769230769231,1.2096774193548387
1-RUR-0000-3810430,7,0.1147540983,61,1,38,1,24,0,0,2,0,1,99,1,1,39,0,26,2,100000,12500.0,1.0,0.2896073666709298,0.230144,0.04743717262351171,1,47.16065573770492,7,1,0,9623.2,0.07692307692307693,1.5
1-RUR-0000-3810430,5,0.08196721309999999,61,0,38,1,24,0,0,2,0,1,99,1,1,39,0,26,2,100000,12500.0,1.0,0.2834722876432721,0.230144,0.03746138179688934,1,47.16065573770492,7,1,0,9623.2,0.07692307692307693,1.5
1-RUR-6560-3497297,9,0.75,12,1,16,0,30,1,0,2,0,3,164,1,1,64,0,11,36,100000,45000.0,0.0,0.8327413881249096,0.21013244444444446,1.243651084435097,1,787.9966666666666,3,2,0,-9455.960000000001,3.272727272727273,5.4
1-RUR-4510-3192311,5,0.08196721309999999,61,1,23,0,24,0,2,2,0,1,103,1,1,52,0,18,46,240000,21024.0,1.0,0.4397640061396776,0.34257800608828004,0.05014554354068019,1,118.07147540983605,5,1,0,13821.64,2.5555555555555554,1.0512
1-RUR-0000-3937837,7,0.1147540983,61,1,16,0,25,0,0,2,0,1,97,1,1,31,0,13,3,284000,23489.0,1.0,0.3119133915574964,0.34782664225807824,0.04741805360595459,1,133.9360655737705,5,1,1,15318.900000000001,0.23076923076923078,0.9924929577464788
1-RUR-6560-4638888,7,0.1147540983,61,1,23,0,49,1,0,1,0,1,150,1,1,37,0,34,12,253000,30000.0,1.0,0.3171315068493151,0.24261,0.047945798411491485,1,119.31639344262295,6,3,0,22721.7,0.35294117647058826,1.4229249011857708
1-RUR-0000-3122832,10,0.6666666666,15,0,69,1,30,1,2,2,0,1,90,1,1,47,0,24,21,35000,26750.0,0.3644859813084112,0.8260222369191192,0.10322242990654204,1.5125988885523338,1,184.07999999999998,11,2,0,6988.800000000001,0.875,9.17142857142857
1-RUR-0000-3207398,12,0.5,24,1,192,2,25,0,2,2,0,1,55,1,1,54,0,41,12,100000,25000.0,1.0,0.6978492779783393,0.2172292,0.6302801717989246,1,226.28041666666664,6,1,0,19569.27,0.2926829268292683,3.0
1-RUR-2200-3382634,9,0.5294117647,17,0,16,0,28,1,2,2,0,1,126,1,1,57,0,9,60,35000,12000.0,1.0,0.7455441572582956,0.20407833333333333,0.591560183588549,1,144.05529411764707,8,2,0,9551.06,6.666666666666667,4.114285714285714
1-RUR-4520-3640639,6,0.5,12,1,22,0,40,1,2,2,1,1,99,1,1,99,0,17,192,60000,41000.0,0.3902439024390244,0.8077979166666668,0.13838,0.633301048415943,1,472.79833333333335,6,3,0,10326.42,11.294117647058824,8.2
1-RUR-0000-3344669,13,0.3513513513,37,1,17,0,47,1,2,2,0,1,21,1,1,29,0,129,48,120000,13700.0,1.0,0.5425359025650901,0.3436452554744525,0.3456894538990342,1,127.2416216216216,3,3,0,8992.060000000001,0.37209302325581395,1.37
1-RUR-4510-3503593,4,0.16,25,1,18,0,29,1,2,2,1,1,118,1,1,30,0,4,12,100000,25000.0,1.0,0.5893196445856677,0.20488160000000002,0.0666265046233459,1,204.8816,2,2,0,19877.96,3.0,3.0
1-RUR-6560-4638888,2,0.0327868852,61,0,0,0,49,1,0,1,0,1,150,1,1,37,0,34,12,253000,30000.0,1.0,0.2471958904109589,0.24261,0.0071837680388953315,1,119.31639344262295,6,3,0,22721.7,0.35294117647058826,1.4229249011857708
1-RUR-2200-3513167,2,0.0350877192,57,0,0,0,51,1,0,1,0,1,155,1,1,64,0,355,0,100000,10000.0,0.0,0.3177466666666667,0.298466,0.009624141062261907,1,52.36245614035087,1,4,0,-2984.6600000000003,0.0,1.2
1-RUR-3600-4491984,1,0.0163934426,61,0,0,0,36,0,2,5,1,4,78,1,1,60,0,27,48,650000,60000.0,0.0,0.0,0.311653,0.0,1,306.5439344262295,2,2,1,-18699.18,1.7777777777777777,1.1076923076923078
1-RUR-4500-3139361,1,0.0163934426,61,1,0,0,25,1,2,2,0,1,114,1,1,19,0,13,0,350000,42000.0,1.0,0.0,0.2500821428571429,0.0,1,172.1877049180328,2,1,1,31496.549999999996,0.0,1.44
1-RUR-4510-4484650,2,0.08,25,0,0,0,52,1,0,2,1,1,89,1,1,65,0,53,60,300000,39000.0,0.0,0.6104393548387096,0.3940033333333333,0.032566493170228895,1,614.6451999999999,4,4,0,-15366.13,1.1320754716981132,1.56
1-RUR-6570-4764718,2,0.0327868852,61,0,0,0,28,1,2,3,0,4,141,1,1,49,0,16,0,350000,33000.0,0.0,0.292639603960396,0.3051148484848485,0.008516663836464673,1,165.062131147541,2,2,1,-10068.79,0.0,1.1314285714285715
1-RUR-4020-3165012,1,0.058823529400000005,17,0,0,0,48,1,3,1,0,1,344,1,1,35,0,253,180,50000,12300.0,1.0,0.0,0.2887235772357724,0.0,1,208.9,6,3,1,8748.699999999999,0.7114624505928854,2.952
1-RUR-0000-3455083,4,0.0655737704,61,0,0,0,43,1,0,3,1,1,47,1,1,51,0,120,96,150000,17000.0,1.0,0.3461851773145554,0.2436964705882353,0.029517643497910948,1,67.91540983606558,1,3,0,12857.16,0.8,1.36
1-RUR-0000-3123443,7,0.1147540983,61,1,8,0,39,0,0,3,1,1,97,1,1,21,0,62,12,300000,28811.0,1.0,0.4955841711378197,0.3124830793794037,0.07811922532389935,1,147.5893442622951,6,2,0,19808.05,0.1935483870967742,1.15244
1-RUR-0000-3984007,4,0.3333333333,12,0,0,0,54,1,0,2,0,1,245,1,1,108,0,15,84,175000,51370.0,1.0,0.8012662781350482,0.3221321783141912,0.2950588914504056,1,1378.9941666666666,6,4,0,34822.06999999999,5.6,3.5225142857142857
1-RUR-4510-3468634,1,0.0163934426,61,0,0,0,27,0,2,2,0,1,118,1,1,66,0,53,0,600000,56500.0,1.0,0.0,0.29329823008849554,0.0,1,271.66147540983604,14,2,1,39928.65,0.0,1.13
1-RUR-0000-3859145,8,0.1311475409,61,0,0,0,42,0,0,5,1,3,164,1,1,57,0,21,24,300000,25000.0,0.0,0.3184093850313475,0.3452156,0.0685481852389738,1,141.48180327868852,1,3,1,-8630.39,1.1428571428571428,1.0
1-RUR-4510-4484650,4,0.16,25,1,4,0,52,1,0,2,1,1,89,1,1,65,0,53,60,300000,39000.0,0.0,0.6112102952649214,0.3940033333333333,0.1045029110723842,1,614.6451999999999,4,4,0,-15366.13,1.1320754716981132,1.56
1-RUR-4500-4919763,6,0.1621621621,37,0,5,0,26,0,2,3,1,1,236,1,1,71,0,17,47,350000,37607.86,1.0,0.4724128834954476,0.40234940249192586,0.1119751333466597,1,408.9594594594595,4,1,0,22476.36,2.764705882352941,1.289412342857143
1-RUR-4520-3333668,2,0.1666666666,12,1,3,0,27,0,2,2,0,1,263,1,1,84,0,8,38,120000,40000.0,0.0,0.0,0.28367875,0.0,1,945.5958333333333,2,2,1,-11347.15,4.75,4.0
1-RUR-4510-3222216,2,0.11764705880000001,17,1,14,0,34,1,0,1,0,1,220,1,1,56,0,45,48,60000,34800.0,1.0,0.0,0.12245862068965517,0.0,1,250.68000000000004,2,2,1,30538.440000000002,1.0666666666666667,6.96
1-RUR-0000-3106839,16,0.2622950819,61,1,1,0,43,1,3,3,0,1,138,1,1,55,0,224,24,115000,15000.0,1.0,0.5280605095372995,0.2300753333333333,0.23615293715439395,1,56.575901639344266,4,3,0,11548.87,0.10714285714285714,1.565217391304348
1-RUR-3600-5078241,2,0.054054054000000004,37,0,0,0,25,1,0,2,1,1,112,1,1,39,0,9,38,100000,20554.0,1.0,0.4068001628227545,0.21033813369660406,0.01790380829369701,1,116.84567567567568,4,1,0,16230.71,4.222222222222222,2.46648
1-RUR-0000-3405356,9,0.24324324320000001,37,0,1,0,26,0,0,2,0,1,113,1,1,47,0,24,24,300000,41000.0,1.0,0.5242688524229149,0.28706975609756097,0.1976908041498745,1,318.10432432432435,8,1,0,29230.14,1.0,1.64
1-RUR-4500-3316323,16,0.2622950819,61,0,8,0,26,1,0,2,0,1,130,1,1,11,0,14,60,300000,25000.0,1.0,0.3334584762664539,0.3452156,0.16188559772940775,1,141.48180327868852,3,1,1,16369.61,4.285714285714286,1.0
1-RUR-3600-4282212,7,0.1666666666,42,0,3,0,45,1,0,5,0,4,27,1,1,0,0,44,36,100000,15000.0,1.0,0.4521212432588129,0.2398126666666667,0.09018037470371623,1,85.64738095238096,5,3,0,11402.81,0.8181818181818182,1.8
1-RUR-3600-4282212,9,0.2142857142,42,0,3,0,45,1,0,5,0,4,27,1,1,0,0,44,36,100000,15000.0,1.0,0.4658739558414055,0.2398126666666667,0.13480740275721884,1,85.64738095238096,5,3,0,11402.81,0.8181818181818182,1.8
1-RUR-0000-3274227,13,0.213114754,61,0,1,0,52,1,0,1,0,1,4,1,1,78,0,21,60,250000,36000.0,1.0,0.5130208040209558,0.20840166666666668,0.1757719860190364,1,122.9911475409836,4,4,0,28497.54,2.857142857142857,1.728
