nnkd,mob,MOB_term,Credit_TermApr,curr_del_cap_share_one,curr_rep_cap_share_one,bad,maxdelay_one,DaysInCollection_one,delays_one,MA_AGE,MA_Gender,MA_Education,MA_Marital_Status,MANUMBEROFCHILD,MA_Residential_Status,MA_MONTH_AT_CURR_ADDRESS,MA_Real_Estate_Owner,MA_REG_Same_Fact_Addr,MA_MONTH_AT_CURR_PASSP,MA_Exp_IND,MA_Exp_Month_Paym,MA_MONTH_AT_CURR_JOB,MA_Time_Previous_Job,MA_Installment_Amount,MA_Proposed_Amount,MA_Proposed_Term,TOT_INCOME,PARTWH_INCOME,PAYMD2TOTPAYM,PTI
1-RUR-4520-3628260,11,0.1803278688,61,0.9154652989,0.084534701,0,27,17,0,39,0,2,5,2,4,419,1,1,48,0,0.0,71,4,13952.46,485000,60,44700.0,1.0,0.3247214478061144,0.3121355704697986
1-RUR-0000-3984007,8,0.6666666666,12,0.5302093714,0.4697906285,0,16,18,0,54,1,0,2,0,1,245,1,1,108,0,0.0,15,84,16547.93,175000,12,51370.0,1.0,0.8232037648943626,0.32213217831419116
1-RUR-0000-3984007,6,0.5,12,0.6937601714,0.3062398285,0,16,4,0,54,1,0,2,0,1,245,1,1,108,0,0.0,15,84,16547.93,175000,12,51370.0,1.0,0.8027556920311564,0.32213217831419116
1-RUR-4200-4318552,8,0.1311475409,61,0.943592225,0.056407775,1,29,32,0,37,1,0,3,1,1,60,1,1,49,0,0.0,54,156,11507.19,400000,60,50000.0,1.0,0.32336954496596204,0.2301438
1-RUR-0000-5015962,6,0.1621621621,37,0.9196728333,0.0803271666,1,48,32,1,36,0,2,2,0,1,249,1,1,6,0,0.0,23,38,10375.88,240000,36,36726.85,0.0,0.4618715860086248,0.282514835876205
1-RUR-4510-3297185,6,0.0983606557,61,0.9541773154,0.0458226845,1,53,32,1,38,1,0,2,0,1,277,1,1,50,0,0.0,56,72,4286.43,149000,60,16000.0,1.0,0.30480267857142856,0.267901875
1-RUR-4510-3297185,7,0.1147540983,61,0.9541773154,0.0458226845,1,60,32,2,38,1,0,2,0,1,277,1,1,50,0,0.0,56,72,4286.43,149000,60,16000.0,1.0,0.302437358490566,0.267901875
1-RUR-4520-3262264,5,0.0819672131,61,0.9729822666,0.0270177333,1,26,32,0,45,0,0,2,0,1,47,1,1,0,0,0.0,57,60,8630.39,300000,60,35680.0,1.0,0.30780202712196525,0.24188312780269056
1-RUR-0000-3219657,5,0.0819672131,61,0.94780804,0.05219196,1,91,32,1,33,1,2,3,1,4,83,1,1,45,0,0.0,38,0,7502.46,250000,60,30000.0,0.0,0.36495505746200524,0.250082
1-RUR-4500-4416720,3,0.25,12,0.8817024666,0.1182975333,1,54,32,1,24,0,2,2,0,1,16,1,1,47,0,0.0,15,54,14183.94,150000,12,56000.0,1.0,0.7097852,0.25328464285714286
1-RUR-0000-3143488,13,0.3513513513,37,0.7108827,0.2891173,0,76,1,2,30,1,2,5,0,3,164,1,1,9,0,0.0,10,84,8187.06,200000,36,63000.0,0.0,0.6043160971417099,0.12995333333333334
1-RUR-4520-3385902,11,0.1803278688,61,0.9040215322,0.0959784677,1,41,32,4,23,1,2,2,0,1,114,1,1,3,0,0.0,13,12,7134.46,248000,60,25000.0,1.0,0.3268698159846196,0.2853784
1-RUR-0000-3810430,7,0.1147540983,61,0.9547112,0.0452888,1,38,32,1,24,0,0,2,0,1,99,1,1,39,0,0.0,26,2,2876.8,100000,60,12500.0,1.0,0.2896073666709298,0.23014400000000002
1-RUR-0000-3810430,5,0.0819672131,61,0.9638913,0.0361087,0,38,14,1,24,0,0,2,0,1,99,1,1,39,0,0.0,26,2,2876.8,100000,60,12500.0,1.0,0.2834722876432721,0.23014400000000002
1-RUR-6560-3497297,9,0.75,12,0.4457021,0.5542979,1,16,32,0,30,1,0,2,0,3,164,1,1,64,0,0.0,11,36,9455.96,100000,12,45000.0,0.0,0.8327413881249096,0.21013244444444443
1-RUR-0000-3810430,5,0.0819672131,61,0.9822859,0.0177141,0,38,14,1,24,0,0,2,0,1,99,1,1,39,0,0.0,26,2,2876.8,100000,60,12500.0,1.0,0.2834722876432721,0.23014400000000002
1-RUR-4510-3192311,5,0.0819672131,61,0.9522489583,0.0477510416,1,23,32,0,24,0,2,2,0,1,103,1,1,52,0,0.0,18,46,7202.36,240000,60,21024.0,1.0,0.43976400613967764,0.34257800608828004
1-RUR-0000-3937837,7,0.1147540983,61,0.9547286267,0.0452713732,1,16,32,0,25,0,0,2,0,1,97,1,1,31,0,0.0,13,3,8170.1,284000,60,23489.0,1.0,0.31191339155749637,0.34782664225807824
1-RUR-6560-4638888,7,0.1147540983,61,0.954247826,0.0457521739,1,23,32,0,49,1,0,1,0,1,150,1,1,37,0,0.0,34,12,7278.3,253000,60,30000.0,1.0,0.31713150684931507,0.24261
1-RUR-0000-3122832,10,0.6666666666,15,0.3979942857,0.6020057142,0,69,14,1,30,1,2,2,0,1,90,1,1,47,0,0.0,24,21,2761.2,35000,15,26750.0,0.3644859813084112,0.8260222369191192,0.10322242990654205
1-RUR-0000-3207398,12,0.5,24,0.6133915,0.3866085,1,192,32,2,25,0,2,2,0,1,55,1,1,54,0,0.0,41,12,5430.73,100000,24,25000.0,1.0,0.6978492779783393,0.21722919999999998
1-RUR-2200-3382634,9,0.5294117647,17,0.6283142857,0.3716857142,0,16,10,0,28,1,2,2,0,1,126,1,1,57,0,0.0,9,60,2448.94,35000,17,12000.0,1.0,0.7455441572582956,0.20407833333333333
1-RUR-4520-3640639,6,0.5,12,0.612257,0.387743,1,22,32,0,40,1,2,2,1,1,99,1,1,99,0,0.0,17,192,5673.58,60000,12,41000.0,0.3902439024390244,0.8077979166666668,0.13838
